"UIGNRLMISS","","Mancante"
"UIGNRLYES0","","Si'"
"UIGNRLNO00","","No"
"UIGRNTOKEN","","Gettoni"
"UIGNRLSKIP","","Salta"
"UIGNRLQSTN","","???"
"UIGNRLMVSE","","Sposta selezione"
"UIGNRLSLCT","","Seleziona"
"UIGNRSCROL","","Scorri"
"UIGNRLDELE","","Elimina"
"UIGNRLZOOM","","Zoom"
"UIMAINTITL","","MENU PRINCIPALE"
"UIMAINNEW0","","Nuova partita"
"UIMAINCONT","","Continua"
"UIMAINCOLL","","Collezionabili"
"UIMAINDIGE","","Riepilogo"
"UIMAINOPTS","","Opzioni"
"UIMAINSHOT","","Istantanee"
"UIMAINHLNE","","Inizia una nuova partita"
"UIMAINHLCN","","Carica e avvia una partita salvata."
"UIMAINHLCO","","Minigiochi. Gioca ai minigiochi°ısbloccati durante l'avanzamento del gioco."
"UIMAINHLDI","","Riproduce il filmato riepilogativo di Shenmue I."
"UIMAINHLOP","","Modifica le impostazioni di gioco."
"UIMAINHLSN","","Visualizza le istantanee."
"UILOADCONF","","Vuoi caricare questo file?"
"UISAVECONF","","Sei sicuro di voler salvare?"
"UISCROLLLB","","Scorri"
"UILOADEMPT","","Spazio vuoto"
"UIOPTSTITL","","OPZIONI"
"UIOPTSCNTL","","Comandi"
"UIOPTSAUDI","","Audio"
"UIOPTSGRPH","","Grafica"
"UIOPTSAPPL","","Applica"
"UIOPTSRAMU","","Utilizzo RAM"
"UIOPTSCNMD","","Modalit√† di controllo"
"UIOPTSVIBR","","Vibrazione"
"UIOPTSINVY","","Inverti asse Y, visuale"
"UIOPTSSD43","","Formato dello schermo"
"UIOPTSHD43","","Forza HD 4:3"
"UIOTGLCLSS","","Classico"
"UIOTGLMDRN","","Moderno"
"UIOTGLON00","","Attivo"
"UIOTGLOFF0","","Disattivo"
"UIOPTSSUBL","","Lingua dei sottotitoli"
"UIOTGLENG0","","Italiano"
"UIOTGLFRN0","","Francese"
"UIOTGLGER0","","Tedesco"
"UIOTGLSPN0","","Spagnolo"
"UIOTGLJPN0","","Giapponese"
"UIOPTSDGMD","","Modalit√† grafica predefinita"
"UIOPTSUISZ","","Dimensione UI"
"UIOPTSBRGH","","Luminosita'"
"UIOPTSVSYN","","V-Sync"
"UIOPTSFULL","","Modalit√† schermo"
"UIOPTSRESO","","Risoluzione"
"UIOPTSQUAL","","Qualit√† complessiva"
"UIOPTSLODD","","Distanza LOD"
"UIOPTSSHAD","","Risoluzione ombre"
"UIOPTSTEXQ","","Qualit√† texture"
"UIOPTSTEXF","","Filtro texture"
"UIOPTSPOST","","Qualit√† post-processing"
"UIOPTSAA00","","Qualit√† antialiasing"
"UIOPTSMOTB","","Motion blur"
"UIOTGLHD00","","HD"
"UIOTGLSD00","","SD"
"UIOTGLSMAL","","Piccola"
"UIOTGLMEDI","","Media"
"UIOTGLLARG","","Grande"
"UIOTGLVLRG","","Molto grande"
"UIOTGLLOW0","","Bassa"
"UIOTGLHIGH","","Alta"
"UIOTGLFULL","","Schermo intero"
"UIOTGLBORD","","Senza bordi"
"UIOTGLWIND","","Finestra"
"UIOTGLVHIG","","Molto alta"
"UIOTGLEXTR","","Estrema"
"UIOTGLCUST","","Personalizzata"
"UIOTGLNEAR","","Vicino"
"UIOTGLFAR0","","Lontano"
"UIOTGLVFAR","","Molto lontano"
"UIOTGLPOIN","","Punto"
"UIOTGLBILI","","Bilineare"
"UIOTGLTRIL","","Trilineare"
"UIOTGLANI2","","Anisotropico x2"
"UIOTGLANI4","","Anisotropico x4"
"UIOTGLANI8","","Anisotropico x8"
"UIOTGLAN16","","Anisotropico x16"
"UIOTGLAAX2","","MSAA x2"
"UIOTGLAAX4","","MSAA x4"
"UIOTGLAAX8","","MSAA x8"
"UILOADDOYO","","Vuoi caricare questa partita?"
"UILOADAM00","","am"
"UILOADPM00","","pm"
"UILOADSUN0","","Dom."
"UILOADMON0","","Lun."
"UILOADTUE0","","Mar."
"UILOADWED0","","Mer."
"UILOADTHU0","","Gio."
"UILOADFRI0","","Ven."
"UILOADSAT0","","Sab."
"UILOADNOWL","","Caricamento in corso"
"UISNAPTITL","","VISUALIZZATORE ISTANTANEE"
"UISNAPSNAP","","Istantanee"
"UISNAPPRIZ","","Premi"
"UISNAPDELE","","Sei sicuro di voler eliminare questa immagine?"
"UIMCOLTITL","","COLLEZIONI"
"UIMCOLBATT","","Combattimento"
"UIMCOLGAME","","Giochi"
"UIMCOLYSGA","","Giochi YS"
"UIMCOLLOCK","","???"
"UIMCOLTY01","","Hang-On"
"UIMCOLTY02","","Space Harrier"
"UIMCOLTY03","","OutRun"
"UIMCOLTY04","","After Burner II"
"UIMCOLTS01","","Titolo QTE"
"UIMCOLTS02","","Excite QTE2"
"UIMCOLTS03","","Slot Machine"
"UIMCOLTS04","","Lucky Hit Museum"
"UIMCOLTS05","","Darts Seven"
"UIMCOLTS06","","Darts vs Yongmin Wen"
"UIMCOLTS07","","Darts vs Fenglin Xuan"
"UIMCOLTS08","","Darts vs Baiyang Liu"
"UIMCOLTS09","","Darts vs Chengyou Wen"
"UIMCOLTS10","","Darts vs Barry Jones"
"UIMCOLTB01","","The Beast"
"UIMCOLTB02","","Lotta Mongola"
"UIMCOLTB03","","Stile: Iron Thrust"
"UIMCOLTB04","","Stile: Acrobat"
"UIMCOLTB05","","Stile: Iron Head"
"UIMCOLTB06","","Uomo con un occhio solo"
"UIMCOLTB07","","Stile: Passive Raid"
"UIMCOLTB08","","Wrestling"
"UIMCOLTB09","","Pancratium"
"UIMCOLTB10","","Jeet Kune Do"
"UIMCOLTB11","","Stile: Tiger Swallow"
"UIMCOLTB12","","Pergamene delle tecniche"
"UIMCOLY010","","Mantieni alta la velocita'per vincere!"
"UIMCOLY011",""," "
"UIMCOLY020","","Uno sparatutto sci-fi con"
"UIMCOLY021","","comandi semplici e velocit√† travolgente."
"UIMCOLY030","","Un entusiasmante gioco di guida."
"UIMCOLY031","","Cerca di completare tutti i percorsi!"
"UIMCOLY040","","Uno sparatutto che simula"
"UIMCOLY041","","il combattimento aereo."
"UIMCOLS010","","Migliora le tue abilit√† nei QTE"
"UIMCOLS011","","giocando a questo gioco!"
"UIMCOLS020","","Riesci a stare al passo con"
"UIMCOLS021","","la velocit√† crescente?"
"UIMCOLS030","","Divertiti con il simulatore di slot"
"UIMCOLS031","","Punta al 777!"
"UIMCOLS040","","Ecco una raccolta di tutti i tipi"
"UIMCOLS041","","di bancarelle Lucky Hit!"
"UIMCOLS050","","Rilassati e goditi una partita a freccette."
"UIMCOLS051",""," "
"UIMCOLS060","","Yongmin Wen: non √® troppo vecchio per"
"UIMCOLS061","","sconfiggerti, quindi fai attenzione!"
"UIMCOLS070","","Fenglin Xuan: puo' essere un buon"
"UIMCOLS071","","partner di allenamento."
"UIMCOLS080","","Baiyang Liu: metti a tacere lo snob"
"UIMCOLS081","","vincendo!"
"UIMCOLS090","","Chengyou Wen: lancia dritto"
"UIMCOLS091","","solo al centro!"
"UIMCOLS100","","Barry Jones: non lasciarti"
"UIMCOLS101","","distrarre dal suo rap!"
"UIMCOLB010","","Yan Ren: attaccalo"
"UIMCOLB011","","con un colpo critico!"
